date,gos_organ,page
2012,ФСКН,1
2012,суды,1033
2013,Роскомнадзор,29
2013,Роспотребнадзор,5
2013,ФСКН,19
2013,суды,5427
2014,Генпрокуратура,776
2014,Роскомнадзор,956
2014,Роспотребнадзор,35
2014,ФСКН,102
2014,суды,1656
2015,Генпрокуратура,42797
2015,Роскомнадзор,861
2015,Роспотребнадзор,27
2015,ФНС,15293
2015,ФСКН,322
2015,суды,3225
2016,Генпрокуратура,59
2016,Роскомнадзор,865
2016,Роспотребнадзор,12
2016,ФНС,93665
2016,ФСКН,176
2016,суды,4501
2017,Генпрокуратура,1247
2017,МВД,746
2017,Минкомсвязь,455
2017,Роскомнадзор,842
2017,Роспотребнадзор,67
2017,ФНС,75925
2017,суды,6339
2018,Генпрокуратура,46
2018,МВД,1433
2018,Минкомсвязь,3593
2018,Росалкогольрегулирование,43
2018,Роскомнадзор,2709
2018,Роспотребнадзор,92
2018,ФНС,13092
2018,суды,8122
2019,Генпрокуратура,54
2019,МВД,1535
2019,Минкомсвязь,4931
2019,Росалкогольрегулирование,144
2019,Роскомнадзор,4191
2019,Росмолодежь,4
2019,Роспотребнадзор,274
2019,ФНС,21034
2019,судебные приставы,5
2019,суды,20456
2020,Генпрокуратура,622
2020,МВД,15295
2020,Минкомсвязь,12151
2020,Росалкогольрегулирование,1542
2020,Росздравнадзор,356
2020,Роскомнадзор,5514
2020,Росмолодежь,15
2020,Роспотребнадзор,336
2020,ФНС,7413
2020,судебные приставы,31
2020,суды,38294
2021,Генпрокуратура,3509
2021,МВД,3712
2021,Минкомсвязь,12461
2021,Росалкогольрегулирование,3057
2021,Росздравнадзор,7082
2021,Роскомнадзор,8116
2021,Росмолодежь,169
2021,Роспотребнадзор,275
2021,ФНС,17066
2021,судебные приставы,31
2021,суды,72885
