date,gos_organ,page
2012-01-19,суды,4
2012-01-20,суды,1
2012-01-26,суды,23
2012-01-30,суды,8
2012-01-31,суды,7
2012-02-02,суды,55
2012-02-08,суды,1
2012-02-16,суды,428
2012-02-29,суды,1
2012-03-06,суды,16
2012-03-21,суды,51
2012-03-27,суды,2
2012-03-28,суды,2
2012-04-12,суды,2
2012-04-20,суды,1
2012-05-02,суды,2
2012-05-04,суды,18
2012-05-12,суды,3
2012-05-21,суды,1
2012-05-24,суды,2
2012-05-28,суды,3
2012-06-06,суды,25
2012-06-13,суды,6
2012-06-18,суды,3
2012-06-29,суды,2
2012-07-05,суды,8
2012-07-10,суды,7
2012-07-11,суды,5
2012-07-12,суды,3
2012-07-17,суды,1
2012-07-18,суды,2
2012-07-25,суды,2
2012-07-26,суды,2
2012-08-03,суды,6
2012-08-09,суды,1
2012-08-13,суды,3
2012-08-14,суды,1
2012-08-16,суды,1
2012-08-28,суды,2
2012-08-29,суды,4
2012-09-11,суды,20
2012-09-17,суды,2
2012-09-19,суды,8
2012-09-24,суды,2
2012-09-27,суды,8
2012-10-03,суды,2
2012-10-08,суды,1
2012-10-09,суды,6
2012-10-11,суды,7
2012-10-15,суды,24
2012-10-17,суды,3
2012-10-22,суды,1
2012-10-30,суды,68
2012-11-01,суды,3
2012-11-07,суды,77
2012-11-09,суды,6
2012-11-14,ФСКН,1
2012-11-28,суды,19
2012-11-29,суды,3
2012-12-05,суды,41
2012-12-12,суды,7
2012-12-13,суды,2
2012-12-24,суды,8
2013-01-10,суды,1
2013-01-11,суды,114
2013-01-25,суды,1
2013-01-31,суды,1
2013-02-05,ФСКН,1
2013-02-06,ФСКН,1
2013-02-06,суды,5
2013-02-13,суды,2
2013-02-14,ФСКН,1
2013-02-14,суды,1
2013-02-17,ФСКН,1
2013-02-21,суды,6
2013-02-22,суды,2
2013-02-23,Роспотребнадзор,1
2013-02-27,Роспотребнадзор,2
2013-03-05,Роспотребнадзор,1
2013-03-06,ФСКН,1
2013-03-06,суды,52
2013-03-08,Роспотребнадзор,1
2013-03-12,суды,7
2013-03-14,суды,4
2013-03-27,суды,10
2013-04-05,суды,1
2013-04-22,суды,1
2013-04-23,суды,4
