date,gos_organ,page
2012-01,суды,43
2012-02,суды,485
2012-03,суды,71
2012-04,суды,3
2012-05,суды,29
2012-06,суды,36
2012-07,суды,30
2012-08,суды,18
2012-09,суды,40
2012-10,суды,112
2012-11,ФСКН,1
2012-11,суды,108
2012-12,суды,58
2013-01,суды,117
2013-02,Роспотребнадзор,3
2013-02,ФСКН,4
2013-02,суды,16
2013-03,Роспотребнадзор,2
2013-03,ФСКН,1
2013-03,суды,73
2013-04,суды,10
2013-05,суды,1074
2013-06,суды,1930
2013-07,Роскомнадзор,1
2013-07,суды,25
2013-08,Роскомнадзор,1
2013-08,суды,37
2013-09,Роскомнадзор,1
2013-09,ФСКН,1
2013-09,суды,71
2013-10,Роскомнадзор,6
2013-10,суды,60
2013-11,Роскомнадзор,20
2013-11,ФСКН,6
2013-11,суды,36
2013-12,ФСКН,7
2013-12,суды,1978
2014-01,ФСКН,17
2014-01,суды,8
2014-02,Генпрокуратура,3
2014-02,Роскомнадзор,3
2014-02,ФСКН,5
2014-02,суды,90
2014-03,Генпрокуратура,623
2014-03,Роскомнадзор,9
2014-03,ФСКН,5
2014-03,суды,22
2014-04,Генпрокуратура,8
2014-04,Роскомнадзор,8
2014-04,ФСКН,13
2014-04,суды,137
2014-05,Генпрокуратура,11
2014-05,Роскомнадзор,8
2014-05,Роспотребнадзор,22
2014-05,ФСКН,2
2014-05,суды,147
2014-06,Генпрокуратура,3
2014-06,Роскомнадзор,3
2014-06,ФСКН,5
2014-06,суды,233
2014-07,Генпрокуратура,16
2014-07,Роскомнадзор,7
2014-07,Роспотребнадзор,11
2014-07,ФСКН,12
2014-07,суды,234
2014-08,Генпрокуратура,32
2014-08,Роскомнадзор,113
2014-08,ФСКН,4
2014-08,суды,161
2014-09,Генпрокуратура,7
2014-09,Роскомнадзор,99
2014-09,ФСКН,5
2014-09,суды,120
2014-10,Генпрокуратура,42
2014-10,Роскомнадзор,562
2014-10,ФСКН,5
2014-10,суды,212
2014-11,Генпрокуратура,3
2014-11,Роскомнадзор,129
2014-11,ФСКН,17
2014-11,суды,73
2014-12,Генпрокуратура,28
2014-12,Роскомнадзор,15
2014-12,Роспотребнадзор,2
2014-12,ФСКН,12
2014-12,суды,219
2015-01,Генпрокуратура,3
2015-01,Роскомнадзор,12
2015-01,Роспотребнадзор,1
2015-01,ФСКН,11
2015-01,суды,167
2015-02,Роскомнадзор,73
2015-02,ФСКН,11
2015-02,суды,186
2015-03,Генпрокуратура,16467
2015-03,Роскомнадзор,4
2015-03,ФСКН,28
2015-03,суды,246
2015-04,Генпрокуратура,20243
2015-04,Роскомнадзор,21
2015-04,ФСКН,30
2015-04,суды,238
2015-05,Генпрокуратура,3
2015-05,Роскомнадзор,132
2015-05,ФСКН,17
2015-05,суды,485
2015-06,Генпрокуратура,24
2015-06,Роскомнадзор,32
2015-06,ФСКН,73
2015-06,суды,290
2015-07,Генпрокуратура,14
2015-07,Роскомнадзор,17
2015-07,Роспотребнадзор,1
2015-07,ФСКН,25
2015-07,суды,207
2015-08,Роскомнадзор,69
2015-08,ФСКН,34
2015-08,суды,359
2015-09,Генпрокуратура,17
2015-09,Роскомнадзор,139
2015-09,Роспотребнадзор,5
2015-09,ФСКН,9
2015-09,суды,250
2015-10,Генпрокуратура,50
2015-10,Роскомнадзор,117
2015-10,Роспотребнадзор,10
2015-10,ФСКН,13
2015-10,суды,297
2015-11,Генпрокуратура,25
2015-11,Роскомнадзор,29
2015-11,Роспотребнадзор,4
2015-11,ФНС,14666
2015-11,ФСКН,46
2015-11,суды,123
2015-12,Генпрокуратура,5951
2015-12,Роскомнадзор,216
2015-12,Роспотребнадзор,6
2015-12,ФНС,627
2015-12,ФСКН,25
2015-12,суды,377
2016-01,Генпрокуратура,9
2016-01,Роскомнадзор,203
2016-01,Роспотребнадзор,1
2016-01,ФНС,1667
2016-01,ФСКН,46
2016-01,суды,105
2016-02,Генпрокуратура,19
2016-02,Роскомнадзор,89
2016-02,ФНС,11616
2016-02,ФСКН,20
2016-02,суды,331
2016-03,Генпрокуратура,10
2016-03,Роскомнадзор,60
2016-03,Роспотребнадзор,1
2016-03,ФНС,3273
2016-03,ФСКН,36
2016-03,суды,432
2016-04,Генпрокуратура,1
2016-04,Роскомнадзор,12
2016-04,Роспотребнадзор,4
2016-04,ФНС,9765
2016-04,ФСКН,45
2016-04,суды,462
2016-05,Генпрокуратура,2
2016-05,Роскомнадзор,26
2016-05,ФНС,10446
2016-05,ФСКН,29
2016-05,суды,624
2016-06,Генпрокуратура,4
2016-06,Роскомнадзор,47
2016-06,ФНС,21315
2016-06,суды,191
2016-07,Генпрокуратура,5
2016-07,Роскомнадзор,85
2016-07,Роспотребнадзор,2
2016-07,ФНС,6842
2016-07,суды,283
2016-08,Генпрокуратура,2
2016-08,Роскомнадзор,97
2016-08,Роспотребнадзор,4
2016-08,ФНС,409
2016-08,суды,526
2016-09,Генпрокуратура,3
2016-09,Роскомнадзор,52
2016-09,ФНС,2973
2016-09,суды,376
2016-10,Генпрокуратура,2
2016-10,Роскомнадзор,66
2016-10,ФНС,482
2016-10,суды,370
2016-11,Генпрокуратура,1
2016-11,Роскомнадзор,64
2016-11,ФНС,14990
2016-11,суды,251
2016-12,Генпрокуратура,1
2016-12,Роскомнадзор,64
2016-12,ФНС,9887
2016-12,суды,550
2017-01,Генпрокуратура,2
2017-01,МВД,2
2017-01,Роскомнадзор,42
2017-01,ФНС,5408
2017-01,суды,427
2017-02,Генпрокуратура,1
2017-02,МВД,12
2017-02,Роскомнадзор,46
2017-02,ФНС,12966
2017-02,суды,360
2017-03,Генпрокуратура,1
2017-03,МВД,38
2017-03,Роскомнадзор,59
2017-03,Роспотребнадзор,11
2017-03,ФНС,12075
2017-03,суды,551
2017-04,Генпрокуратура,13
2017-04,МВД,109
2017-04,Роскомнадзор,252
2017-04,Роспотребнадзор,19
2017-04,ФНС,12605
2017-04,суды,451
2017-05,Генпрокуратура,8
2017-05,МВД,67
2017-05,Роскомнадзор,26
2017-05,Роспотребнадзор,4
2017-05,ФНС,12201
2017-05,суды,380
2017-06,Генпрокуратура,1057
2017-06,МВД,48
2017-06,Роскомнадзор,36
2017-06,Роспотребнадзор,4
2017-06,ФНС,1705
2017-06,суды,524
2017-07,Генпрокуратура,30
2017-07,МВД,92
2017-07,Роскомнадзор,67
2017-07,ФНС,568
2017-07,суды,487
2017-08,Генпрокуратура,1
2017-08,МВД,78
2017-08,Роскомнадзор,54
2017-08,Роспотребнадзор,2
2017-08,ФНС,14706
2017-08,суды,481
2017-09,Генпрокуратура,7
2017-09,МВД,93
2017-09,Роскомнадзор,107
2017-09,Роспотребнадзор,4
2017-09,ФНС,232
2017-09,суды,672
2017-10,Генпрокуратура,12
2017-10,МВД,50
2017-10,Минкомсвязь,73
2017-10,Роскомнадзор,65
2017-10,Роспотребнадзор,5
2017-10,ФНС,777
2017-10,суды,576
2017-11,Генпрокуратура,18
2017-11,МВД,76
2017-11,Минкомсвязь,191
2017-11,Роскомнадзор,37
2017-11,Роспотребнадзор,14
2017-11,ФНС,648
2017-11,суды,689
2017-12,Генпрокуратура,97
2017-12,МВД,81
2017-12,Минкомсвязь,191
2017-12,Роскомнадзор,51
2017-12,Роспотребнадзор,4
2017-12,ФНС,2034
2017-12,суды,741
2018-01,МВД,43
2018-01,Минкомсвязь,166
2018-01,Роскомнадзор,102
2018-01,Роспотребнадзор,1
2018-01,ФНС,889
2018-01,суды,313
2018-02,Генпрокуратура,6
2018-02,МВД,64
2018-02,Минкомсвязь,188
2018-02,Роскомнадзор,49
2018-02,Роспотребнадзор,4
2018-02,ФНС,457
2018-02,суды,484
2018-03,Генпрокуратура,14
2018-03,МВД,119
2018-03,Минкомсвязь,197
2018-03,Роскомнадзор,89
2018-03,Роспотребнадзор,5
2018-03,ФНС,1715
2018-03,суды,584
2018-04,Генпрокуратура,14
2018-04,МВД,84
2018-04,Минкомсвязь,203
2018-04,Роскомнадзор,74
2018-04,Роспотребнадзор,11
2018-04,ФНС,343
2018-04,суды,819
2018-05,Генпрокуратура,1
2018-05,МВД,55
2018-05,Минкомсвязь,400
2018-05,Роскомнадзор,170
2018-05,Роспотребнадзор,8
2018-05,ФНС,805
2018-05,суды,670
2018-06,Генпрокуратура,1
2018-06,МВД,74
2018-06,Минкомсвязь,490
2018-06,Росалкогольрегулирование,7
2018-06,Роскомнадзор,77
2018-06,Роспотребнадзор,24
2018-06,ФНС,802
2018-06,суды,585
2018-07,Генпрокуратура,1
2018-07,МВД,112
2018-07,Минкомсвязь,375
2018-07,Росалкогольрегулирование,9
2018-07,Роскомнадзор,264
2018-07,Роспотребнадзор,2
2018-07,ФНС,1140
2018-07,суды,688
2018-08,Генпрокуратура,4
2018-08,МВД,111
2018-08,Минкомсвязь,327
2018-08,Росалкогольрегулирование,8
2018-08,Роскомнадзор,379
2018-08,Роспотребнадзор,3
2018-08,ФНС,951
2018-08,суды,861
2018-09,МВД,93
2018-09,Минкомсвязь,290
2018-09,Росалкогольрегулирование,4
2018-09,Роскомнадзор,346
2018-09,Роспотребнадзор,16
2018-09,ФНС,1177
2018-09,суды,651
2018-10,Генпрокуратура,3
2018-10,МВД,175
2018-10,Минкомсвязь,339
2018-10,Росалкогольрегулирование,6
2018-10,Роскомнадзор,407
2018-10,Роспотребнадзор,12
2018-10,ФНС,931
2018-10,суды,810
2018-11,МВД,257
2018-11,Минкомсвязь,344
2018-11,Росалкогольрегулирование,5
2018-11,Роскомнадзор,388
2018-11,Роспотребнадзор,1
2018-11,ФНС,1937
2018-11,суды,813
2018-12,Генпрокуратура,2
2018-12,МВД,246
2018-12,Минкомсвязь,274
2018-12,Росалкогольрегулирование,4
