,gos_organ
ФНС,247053
Генпрокуратура,49785
Мосгорсуд,41180
Минкомсвязь,35216
суд,30841
Роскомнадзор,25713
МВД,23512
Росздравнадзор,8836
Росалкогольрегулирование,5281
 Саратовская область,4309
 Нижегородская область,3773
 Республика Башкортостан,3690
 Москва,3619
 Алтайский край,3075
 Самарская область,2632
 Мурманская область,2579
 Курганская область,2409
 Омская область,2180
 Республика Саха (Якутия),2118
 Челябинская область,2112
 Костромская область,2083
Петербург,2019
 Липецкая область,1951
 Забайкальский край,1862
 Свердловская область,1800
 Чувашия,1673
 Оренбургская область,1627
 Кировская область,1528
 Приморский край,1518
 Удмуртская Республика,1483
 Пермский край,1423
 Краснодарский край,1398
 Кемеровская область,1342
 Ростовская область,1331
 Калининградская область,1306
 Московская область,1289
 Тверская область,1264
 Псковская область,1253
 Белгородская область,1222
 Рязанская область,1193
 Тульская область,1187
Роспотребнадзор,1129
 Тамбовская область,1115
 Новгородская область,1044
 Тюменская область,1015
 Томская область,998
 Хабаровский край,969
 Ярославская область,927
 Астраханская область,920
 Иркутская область,905
 Новосибирская область,875
 Калужская область,873
 Архангельская область,866
 Амурская область,865
 Ставропольский край,794
 Воронежская область,775
 Ульяновская область,755
 Смоленская область,730
 Республика Марий Эл,729
 Пензенская область,701
 Республика Мордовия,663
 Волгоградская область,653
 Орловская область,652
 Брянская область,638
 Республика Татарстан (Татарстан),635
 Курская область,631
ФСКН,620
 Республика Карелия,599
 Красноярский край,598
 Республика Коми,594
 Владимирская область,575
 Сахалинская область,540
 Югра,530
 Республика Дагестан,520
 Ивановская область,463
 Республика Адыгея (Адыгея),457
Ненецкий автономный округ,385
 Вологодская область,314
 Республика Ингушетия,313
 Республика Крым,309
 Республика Калмыкия,307
Коминтерновский районный суд г. Воронежа,298
 Республика Тыва,282
 Алания,263
 Республика Хакасия,250
 Магаданская область,217
Росмолодежь,206
 Чеченская Республика,179
 Республика Алтай,179
 Камчатский край,171
Дону,163
Трехгорный городской суд Челябинской области,163
Петербурга,157
 Севастополь,154
Балкарская Республика,147
 Республика Бурятия,145
 Ленинградская область,129
 Ненецкий автономный округ,116
Кировский районный суд г. Уфы,95
Юргинский горсуд,92
Октябрьский районный суд г. Ставрополя,83
Благовещенский городской суд Амурской области,81
Курганский городской суд Курганской области,79
Нагатинский районный суд г. Москвы,77
 Еврейская автономная область,75
Останкинский районный суд г. Москвы,71
Ленинский районный суд г. Самары,59
Центральный районный суд г.Воронежа,57
Дорогомиловский районный суд г. Москвы,55
Таганский районный суд г. Москвы,54
